name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
Austin Duran,5204 Emily Club,Lake Mollyside,79396,+1-070-516-3006x662,Film/video editor,5,171.13,0,1,Urban,0,Phone,Buy One Get One,1.0335466196578111
Austin Smith,97370 William Vista,Lake Nicole,98418,+1-901-430-6901,Corporate treasurer,5,425.29,1,1,Urban,0,Web,Discount,0.7220789384296671
Antonio Brown,81973 Mills Branch Suite 254,South Angelaborough,87498,641.609.5045x102,Legal secretary,10,489.05,0,1,Urban,0,Web,Buy One Get One,1.6104761991672558
Cassandra Wright,898 Lamb Freeway,Marymouth,59839,173-981-5102,IT sales professional,10,29.99,0,1,Surburban,1,Web,Discount,1.2705092191627845
Holly Gates,0286 Adams Point,South Andrewmouth,38078,5533889641,Barista,5,336.36,0,1,Surburban,0,Web,Discount,0.9793397117305144
Ashley Fischer,641 Damon Station Apt. 046,Lake Sarah,44654,(740)187-3099,"Designer, jewellery",9,197.55,0,1,Surburban,0,Web,No Offer,0.613567130118007
Meagan Gardner,86405 Sarah Fork,Whitemouth,16820,+1-873-649-6288x4408,"Engineer, control and instrumentation",3,70.37,0,1,Surburban,1,Phone,Buy One Get One,1.9170438954324958
Curtis Davis,82024 Khan Shore Suite 725,Sullivanburgh,98837,746-101-7087x456,Health and safety inspector,10,51.62,0,1,Surburban,0,Phone,No Offer,0.6738909762883862
Lonnie Berry,82232 Banks Radial Apt. 872,Velasquezstad,35878,446.234.5553,Recycling officer,2,396.14,0,1,Surburban,0,Phone,No Offer,0.8729147847029389
Katie Olsen,77808 Nicholas Shoals Apt. 957,Port Sarahaven,64290,999-851-8341,Trade union research officer,9,29.99,1,0,Urban,0,Phone,No Offer,1.4941849081561258
Erik Gonzalez,68970 Davis Fords Apt. 150,New Adam,35362,040-735-2000x174,Associate Professor,6,451.07,1,1,Surburban,0,Phone,No Offer,0.8815557427593754
Melissa White,17670 Adrienne Corners,Combsville,23630,271-886-8185x5780,Colour technologist,3,29.99,0,1,Surburban,0,Phone,Discount,0.9412874118535336
Michelle Robinson,2852 Thomas Knoll,Valdezview,52958,310-169-8445x113,IT technical support officer,1,103.32,1,0,Surburban,0,Web,Discount,1.414499807446299
Ana Rios,98550 Kevin Extension Apt. 482,Morseview,769,001-643-685-3730,"Accountant, chartered public finance",1,38.85,1,0,Surburban,0,Phone,Discount,0.6206540500021109
Emily Richard,5788 Eric Groves Apt. 312,Maysmouth,84179,+1-317-028-0652,Air traffic controller,1,261.19,0,1,Urban,1,Phone,Discount,0.8968041347978893
Shawn Clark,30513 Austin Circles Apt. 196,North Shelby,15781,8939818176,Hotel manager,1,207.64,1,0,Urban,0,Multichannel,Buy One Get One,1.0165760697396629
Valerie Washington,47397 Michael Crest Apt. 559,North Johnchester,19392,(802)062-0452,Midwife,7,29.99,1,0,Urban,0,Web,No Offer,1.4200311199936566
Kristi Young DDS,32165 Michele Crescent Apt. 181,Meganhaven,95642,+1-326-530-3308,Clinical research associate,10,315.73,0,1,Surburban,0,Multichannel,No Offer,1.07749067687023
David Kelly,42284 Henry Row,New Kevin,80270,001-604-607-8265x09872,Corporate treasurer,1,899.62,1,1,Urban,1,Phone,Buy One Get One,0.8508750670817035
Luis Munoz,518 Ronald Shores Apt. 396,New Scott,74960,+1-006-146-0537x3373,Volunteer coordinator,1,60.51,1,0,Surburban,1,Web,No Offer,0.3631822018426999
Sean Adkins,404 Jessica Extension,Michaelland,11790,(663)699-8324x3649,Radiation protection practitioner,1,69.47,0,1,Urban,0,Web,No Offer,0.7823548375733227
Jeffrey Hernandez,342 Jennifer Squares,Lake Andrewside,9747,318-274-8075x57444,Educational psychologist,3,157.12,0,1,Surburban,0,Phone,No Offer,1.1309730370273716
Victor Kirk,845 Alvin Pine Apt. 842,Maloneville,3121,001-315-206-3075x12255,"Education officer, museum",5,99.77,1,0,Surburban,0,Web,No Offer,1.2175273618099711
Melissa Pacheco,955 Ramos Isle,Youngmouth,1545,157-218-4484x49208,Artist,1,500.65,0,1,Urban,1,Multichannel,Buy One Get One,1.9811918550513048
