name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
Dennis Cunningham,3873 White Drive,New Aprilview,94636,119-313-9287,Industrial/product designer,4,185.31,1,0,Urban,1,Phone,No Offer,1.074280931420566
Deborah Solis,36951 Russell Plains,North April,32005,(118)477-0165,Magazine features editor,12,112.78,0,1,Urban,1,Web,Buy One Get One,1.7165886675155693
David Cook,818 Tyler Lights Apt. 293,Ryanport,54054,9365302118,"Surveyor, land/geomatics",1,948.48,1,1,Rural,1,Phone,No Offer,2.15836981922396
Carla Lewis,5140 Thompson Stravenue Suite 440,Amandabury,40803,001-380-856-4555x2524,Chartered certified accountant,8,199.63,1,0,Urban,0,Web,No Offer,0.5207415007917343
Adrian Reynolds,166 Cheryl Extensions Suite 882,Kathrynville,72064,001-713-102-3758x795,Special educational needs teacher,3,82.07,0,1,Urban,0,Phone,Discount,0.9050420430581498
Jason Morris,671 Maria Spring,Harrisborough,58139,(499)203-2850x4790,"Pilot, airline",10,466.64,0,1,Surburban,0,Web,Buy One Get One,1.0602839274756592
Anne Rogers,7691 Delgado Spring,Dunnland,21807,4320435944,"Programme researcher, broadcasting/film/video",4,962.96,0,1,Urban,1,Web,Buy One Get One,1.665447966334396
Christina Wolf,70367 Figueroa Plain Apt. 852,Port Francisshire,90013,001-432-317-6465,Food technologist,8,29.99,0,1,Rural,0,Phone,Discount,2.282784441017953
Beth Frey,5502 Oneill Ports Suite 238,North Jeremyton,82488,+1-281-148-2433,"Designer, blown glass/stained glass",11,29.99,1,0,Surburban,1,Phone,Buy One Get One,0.3906380680670022
Victoria Wilson,25169 Benjamin Crescent Apt. 718,East Alyssaland,41189,+1-552-985-9671x2899,Music therapist,2,72.46,1,0,Rural,1,Phone,Buy One Get One,0.9410981756856559
Jonathan Aguirre,8186 Dawson Shoals,New Luis,99400,(539)823-9906,Clinical biochemist,7,82.12,1,0,Surburban,0,Web,No Offer,0.8894949734744076
Nicole Miller,82718 Lawrence Points,Kevinport,66442,238-528-1478,Solicitor,1,29.99,0,1,Rural,1,Web,Discount,0.4642523754790089
Calvin Clark,541 Joshua Street Apt. 978,New Cody,73913,+1-457-062-6749,Artist,2,167.63,1,0,Urban,1,Web,Buy One Get One,0.9041426314994708
Timothy Mcmillan,0856 Laura Parkway Apt. 833,South Randy,92175,8880893545,Ambulance person,2,56.34,0,1,Surburban,0,Web,No Offer,1.8391779161110908
Jeremy Sims,820 William Heights,Brownburgh,36240,(009)848-1878,"Geneticist, molecular",11,294.16,1,0,Urban,0,Phone,Discount,1.3572153685303836
Vincent Wright,041 Scott Flats Suite 831,Hendricksfurt,52872,+1-235-940-0883x9165,Building services engineer,10,146.49,1,0,Urban,1,Web,Buy One Get One,1.6643877020380764
Vanessa Garcia,368 Bowen Club,Port Priscillaton,39808,(064)590-7455x51664,Chief Financial Officer,10,223.77,1,0,Urban,0,Web,Buy One Get One,0.5152444546564114
Matthew Braun,22218 Robin Track Suite 579,Caldwellton,93458,(949)092-6756,"Engineer, maintenance (IT)",1,541.45,1,1,Surburban,1,Web,Buy One Get One,1.3693634272460928
Julia May,9696 Snyder Locks Suite 705,Bryanside,22383,948-446-5202,Barrister's clerk,10,54.94,0,1,Urban,1,Web,Buy One Get One,1.34942229176231
Kenneth Sullivan,391 Williams Estates Suite 035,Williamfurt,91878,(312)552-8889x51710,Arts administrator,2,112.03,1,0,Urban,1,Web,Discount,0.837873375759428
Shannon Mills,8591 Jacqueline Pass Apt. 830,Bellview,69835,3101614556,Environmental manager,4,171.78,0,1,Urban,0,Phone,Discount,0.8208052523804088
Anita Schultz,943 Vernon Hills,Katherineton,37207,531.935.5789x94221,Town planner,11,53.07,0,1,Urban,0,Web,Buy One Get One,0.9901342034213426
Ashley Hernandez,390 Justin Rest Suite 349,Millerside,56892,+1-613-369-5105x705,"Therapist, sports",12,45.94,1,0,Rural,0,Web,Discount,1.5716193200378914
Jeremiah Smith,5591 Gilbert Ways,Lisamouth,19819,621.153.1028,"Psychologist, sport and exercise",12,184.36,1,0,Surburban,0,Web,No Offer,2.0732439614331883
James Thompson,9078 Gay Valleys Apt. 694,Port Julie,66386,001-982-633-7949x23227,"Teacher, early years/pre",4,165.88,1,0,Urban,0,Phone,No Offer,2.043037843435616
Michelle Hurst,09623 Ortega Plaza,Port Michaelton,77661,2393591520,Musician,8,133.1,0,1,Surburban,1,Phone,No Offer,1.555530783330127
Jason Thomas,9720 Patrick Cape,Alexandershire,13481,001-791-346-1328x5997,Exercise physiologist,3,76.83,0,1,Urban,1,Web,Buy One Get One,0.6792587772579811
Juan Wilkins MD,372 Brandon Squares Suite 478,Smithside,1619,001-216-975-2460x01026,Newspaper journalist,1,29.99,1,0,Rural,1,Web,No Offer,1.2594004495100437
Christopher Davis,617 Pamela Point,Lake Patriciahaven,38996,(820)229-2526,Industrial buyer,9,164.57,1,0,Surburban,0,Web,Buy One Get One,1.1357343498818586
Manuel Larson,5026 Ellis Isle,Smithville,59454,954-226-2684x24887,"Therapist, drama",10,76.38,0,1,Rural,0,Phone,No Offer,1.3177843563471012
David Nguyen,6032 Derek Spring Apt. 108,North Ricky,57311,2456962175,Air traffic controller,2,481.74,0,1,Surburban,1,Web,Discount,1.3254890292309298
Michael Williams,5240 Smith Island Apt. 792,Stephanieburgh,40586,+1-166-590-2001x594,Paediatric nurse,5,38.09,1,0,Urban,1,Phone,Buy One Get One,1.2309897023629008
Stephen Garcia,1498 Bowen Hills Apt. 481,South Christine,58411,361-012-7566x5696,Museum/gallery conservator,11,223.5,0,1,Rural,0,Multichannel,Buy One Get One,2.804681525777148
Holly Wilson,5444 Connie Spurs,Jensenstad,58325,338.930.3574x82716,"Engineer, electrical",12,29.99,0,1,Surburban,0,Web,Discount,1.5658430144598463
Mrs. Caroline Hernandez,16194 Rebecca Lodge Suite 683,Annefurt,15876,(302)614-0173,Prison officer,3,347.95,0,1,Urban,0,Multichannel,Buy One Get One,0.5403417308384294
Wayne Johnson,8786 Carly Ways,West Amanda,82443,001-645-792-1382,Editorial assistant,8,36.75,1,0,Surburban,0,Phone,No Offer,1.8252636434529668
Brenda Willis,99674 Myers Valleys,Michaelmouth,12423,727-008-9053x78996,Hospital pharmacist,10,37.31,0,1,Rural,1,Phone,Discount,1.1503252136349125
William Hicks,926 Brewer Center,Charlesstad,34391,963-330-8107,Food technologist,5,29.99,1,0,Rural,0,Web,Buy One Get One,1.3503041645255345
Russell Powell,5721 Zhang Fork,Kimview,69356,+1-184-749-2161x7158,Commissioning editor,10,195.39,1,0,Urban,0,Phone,Discount,0.8574622041952118
Dennis Woodard,19201 Claudia Coves,Thomaschester,17025,+1-276-005-2950,Restaurant manager,10,384.04,1,1,Urban,0,Multichannel,No Offer,1.6254190120214915
Shelly Flores,058 John Manor,New Sherry,65013,+1-942-295-3201x86733,Air cabin crew,6,168.17,0,1,Surburban,1,Phone,Buy One Get One,0.8237999849948423
Loretta Steele,9916 Jillian Mission,Johnsonview,26337,+1-576-927-2431x72951,English as a second language teacher,1,403.77,1,0,Urban,1,Phone,Buy One Get One,1.191847715658305
