name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
Kimberly Dominguez,6028 Stephen Junctions,North Elizabethhaven,29275,001-727-875-7329x4558,"Loss adjuster, chartered",11,97.16,1,0,Surburban,1,Phone,Buy One Get One,0.6385132822432266
Hannah Livingston,199 Francis Ridges Suite 011,Williamfort,68629,812.076.1968x712,Speech and language therapist,10,29.99,0,1,Rural,0,Web,Discount,0.9356156654820048
Jacqueline Nelson,96375 Kenneth Viaduct Suite 804,North Carlosland,79706,605-193-0803x09312,Fashion designer,3,349.01,0,1,Urban,0,Web,Discount,1.914561735079393
Ronald Andrews,899 Foster Parks,New Heather,66184,+1-185-211-9064x73208,Scientific laboratory technician,10,36.57,1,0,Surburban,1,Web,No Offer,1.2894646587603669
Linda Cole,704 Joshua Curve Apt. 953,Kennethberg,98464,100.974.7504x565,Physiological scientist,5,51.21,1,0,Surburban,1,Phone,Buy One Get One,1.1925546738293331
Kathleen Taylor,155 Angela Road,North Christinamouth,25012,021-320-4110x1397,Chief Executive Officer,1,52.6,1,0,Surburban,1,Web,Discount,2.3563322759865244
Kristina Smith,2396 Justin Island,West Jacob,9447,492.280.1882,Aeronautical engineer,12,71.24,0,1,Urban,1,Phone,No Offer,1.0250059135661094
Cassandra Jones,5055 Keith Groves Suite 221,Jensenfort,98214,(719)046-2692x454,"Civil engineer, consulting",4,219.65,1,1,Surburban,0,Phone,Discount,0.4668147478237016
Joshua Smith,3874 Rodriguez Rapid Suite 192,Port Johnville,53323,629.035.6393x321,Learning disability nurse,1,235.84,0,1,Surburban,1,Phone,Buy One Get One,1.3428813888636766
Katie Davis,7889 Tracy Stravenue,Zacharychester,9376,268.950.1367x77820,Counsellor,10,93.12,1,0,Urban,1,Phone,No Offer,1.4438474379188335
Jackie Graham,8058 Katherine Drives Apt. 718,West Brandonfort,54157,001-071-129-9433x778,Exercise physiologist,5,107.61,1,0,Surburban,0,Phone,No Offer,0.4272325340307352
Devon Perry,98670 Kathleen Springs,Barneshaven,69951,2581739186,Operational researcher,3,29.99,1,0,Surburban,0,Web,Discount,2.088889821392838
Jacob Rocha,09257 Michael Road,West Stefanie,73717,638-117-2328x89968,Haematologist,5,235.42,1,0,Surburban,0,Phone,No Offer,1.5503773751278889
Karen Rojas,76435 Pittman Keys Apt. 549,Christopherborough,50820,482.856.6410x07391,Music tutor,9,237.97,0,1,Surburban,0,Multichannel,Discount,0.9523727125791464
Ruth Fitzgerald,74913 Calhoun Bridge,North Robertburgh,19554,819.680.3862x924,Computer games developer,3,315.03,1,0,Urban,0,Web,Discount,1.0633066822101864
Jaclyn Hall,6314 Stewart Square,North Samanthaview,76439,(807)722-2299x7149,Patent examiner,5,419.77,1,0,Urban,1,Multichannel,Discount,1.002568598790052
Darius Hill Jr.,967 Walton Shoal,New Tonyashire,40337,312.108.2406x692,Web designer,9,63.85,1,0,Surburban,1,Phone,No Offer,1.0531757812356104
Donna Hill,0542 Hahn Course,Port Richardland,71113,702.635.8343x78065,"Surveyor, rural practice",10,398.69,1,1,Urban,0,Web,No Offer,1.4134695022110368
Angela Mcgrath,514 Nicholas River,New Amberborough,92788,+1-376-881-7512x222,Chemical engineer,6,537.64,0,1,Surburban,1,Phone,Buy One Get One,1.0494433992261982
Nathaniel Cunningham,43500 Briana Crest Apt. 907,Lake Joeshire,84194,293.676.1857,"Teacher, adult education",12,196.49,0,1,Surburban,0,Web,No Offer,1.365349585458983
Samantha Holmes,58871 Miller Estate Apt. 847,Lake Justin,42458,260.742.6252x45110,Homeopath,2,61.44,1,0,Surburban,0,Phone,No Offer,2.323700430308345
Kevin Mcclain,472 Williams Summit,West Ritashire,42874,8376262368,Operational researcher,11,256.21,1,0,Surburban,0,Web,Discount,1.1287293658224269
Kathleen Harper,3945 Anderson Station,Meyerschester,56044,001-286-589-1260x8256,Fisheries officer,6,177.74,1,0,Surburban,0,Web,Buy One Get One,0.012706126628581059
Michael Decker,27189 Walker Village,Baileyside,98658,794-858-1915x23090,"Psychologist, counselling",4,438.7,0,1,Surburban,0,Phone,Discount,1.4842108575632875
Nicole Hendricks,5131 Adam Harbor,North Bonnie,59340,001-046-596-6389x198,Industrial buyer,1,80.13,0,1,Urban,0,Phone,No Offer,1.4655629310723368
Bradley Lee,228 Harris Walks,East Derek,30793,(756)302-3547,Homeopath,10,62.9,0,1,Urban,1,Phone,Discount,1.0189722288569028
Tracy Gallagher,55062 Thompson Cape Apt. 082,West Melissa,71797,(716)825-6981x6077,Horticultural consultant,5,216.01,0,1,Urban,0,Multichannel,Discount,1.9069482970562728
Robert Reid,44189 Heather Bypass Apt. 996,Montoyaville,93347,001-504-286-5278x2555,Waste management officer,9,34.26,1,0,Urban,0,Phone,No Offer,0.20305108470014244
Christina Davis,08718 Elizabeth Spring Suite 255,East John,23947,987.353.1926x84903,Art therapist,2,29.99,1,0,Surburban,0,Web,Buy One Get One,1.2090385783398083
Ashley Pena,2693 William Key,Katiebury,24269,(297)547-1786,"Civil engineer, contracting",3,183.88,1,0,Surburban,1,Phone,Discount,0.551315006325602
Vincent Ruiz,06929 Thomas Coves Apt. 988,East Maryshire,39309,(184)145-4145x49190,Museum/gallery curator,6,29.99,0,1,Surburban,1,Phone,Discount,1.2352928727680774
Larry Smith,337 Marcia Mountain Apt. 622,West Mikeside,79756,001-767-862-8218x2226,"Surveyor, building control",2,40.94,0,1,Surburban,0,Phone,Buy One Get One,0.8491727062783414
Kayla Wood,6414 Christopher Forks Apt. 789,Lake Ashleytown,44212,(012)861-2104x3724,Tax inspector,11,29.99,0,1,Urban,1,Phone,Discount,0.6684617156720835
Martin Hodges,656 White Shore Suite 623,Makaylaborough,83268,001-325-344-0816x19535,Phytotherapist,2,29.99,0,1,Urban,1,Web,Discount,1.0138553502333478
Elizabeth Thomas,14242 Deborah Roads Suite 305,West Breannatown,78181,(567)142-6100x72494,"Psychologist, counselling",7,29.99,0,1,Surburban,1,Phone,Discount,0.8709631496747585
Morgan Arellano,9399 Strickland Courts,Danielleport,34063,898-917-1968x813,"Psychotherapist, dance movement",8,29.99,0,1,Surburban,1,Phone,Discount,1.3665989963929217
James Aguilar,2824 Laura Turnpike Suite 950,West Valerie,48654,001-060-285-9854x821,Licensed conveyancer,11,193.78,1,0,Surburban,1,Phone,Buy One Get One,0.22471881229435198
Jennifer Bailey,551 Lynn Views Apt. 857,Lake Robertfurt,4521,(895)292-9773,Civil Service fast streamer,4,101.34,1,0,Urban,1,Web,Discount,0.5873941102197541
Rose Lester,62427 John Curve Apt. 820,Diazstad,3451,283-352-1400,Surgeon,5,62.95,0,1,Surburban,0,Web,Discount,1.8962627151765865
Beth Quinn,26478 Walton Via Apt. 601,Lake Nicholasburgh,59989,001-887-678-5877,"Teacher, English as a foreign language",10,75.34,1,0,Surburban,1,Phone,Buy One Get One,1.2650405811040275
Barbara Pierce,1567 George Hill,Raymondtown,93306,001-525-587-8983x77858,Town planner,5,958.92,1,1,Urban,1,Multichannel,Discount,1.9488301073830565
Mary James,566 Jesus Port,West Kelly,6784,(990)412-2187x935,Agricultural engineer,10,56.21,1,0,Surburban,1,Phone,Buy One Get One,1.1921169031914904
Mary Myers,919 Turner View Suite 592,South Victoriafort,29216,(471)939-2040,Web designer,8,29.99,1,0,Urban,0,Web,No Offer,0.9537461733594732
Cole Barber,455 Roberts Stream,East Jenniferland,60371,001-674-612-3090,IT technical support officer,9,70.98,0,1,Surburban,1,Web,Discount,0.6574691458544069
Timothy Aguilar,693 Greg Stream Suite 958,Johnsonmouth,37166,5828432818,Research scientist (physical sciences),2,34.2,1,0,Surburban,0,Phone,Discount,1.108654650668519
John Pham,854 Mary Ports,Port Jason,33027,591.201.5367,Market researcher,9,53.75,1,0,Surburban,0,Phone,No Offer,0.5349980676364641
Scott Jones,1409 James Valleys Suite 002,East Joseph,62191,+1-101-052-1787x3119,Armed forces training and education officer,2,72.53,0,1,Urban,0,Phone,Discount,1.2423792854800553
Rachel Johnson,7163 Rivera Views,Hartbury,71343,881-573-1989,Ship broker,6,462.4,1,1,Rural,1,Multichannel,Discount,0.8993445122501575
Danielle Wells,336 Shaw Ports Suite 063,Dominguezburgh,6337,(517)271-8958,Emergency planning/management officer,6,421.84,1,0,Surburban,0,Multichannel,Buy One Get One,1.17997038007849
Denise Vazquez,970 Sweeney Street Suite 451,New Samuel,56750,684.924.1977,Nutritional therapist,3,335.19,1,0,Surburban,1,Multichannel,Buy One Get One,1.030553254521248
Kenneth Larsen,555 Stephen Village,West Sara,36761,(576)211-1260,Make,2,202.82,0,1,Surburban,1,Phone,No Offer,1.8122314620018527
Matthew Morales,9313 Watts Parks,New David,66381,001-615-344-5786x62492,Passenger transport manager,8,296.66,1,0,Surburban,1,Multichannel,No Offer,1.7660726920755436
Dennis Burch,335 Manning Glens,Garciafort,20767,8417276145,IT consultant,6,29.99,1,0,Urban,1,Phone,Buy One Get One,0.9488035609088878
Nicole Stevens,8204 David Plains,Lake Sarah,70252,+1-272-211-4125,Hotel manager,7,242.04,0,1,Surburban,1,Phone,Buy One Get One,0.5555362359679671
Jared Burns,339 Randy Knoll,North Miranda,78490,(113)836-4731,"Engineer, maintenance (IT)",8,194.81,1,0,Urban,1,Web,Buy One Get One,2.5556719430107924
Eric Harper,60964 Mcdonald Stravenue Apt. 530,Kellyville,34406,205.865.0127x2784,Counselling psychologist,1,58.89,0,1,Rural,0,Phone,Buy One Get One,0.4418213679844469
Robin Richardson,401 Sean Shores Apt. 955,Ingramville,1720,+1-992-902-4845x416,"Engineer, maintenance",3,120.78,0,1,Urban,0,Web,Discount,2.388442928283487
Kenneth Simpson,32073 Maddox Plains Suite 761,South Adam,44770,418-915-5214,Nature conservation officer,9,205.33,1,0,Surburban,1,Multichannel,Discount,0.8218789493575402
Dr. Michael Martinez,591 John Plains,Wolfville,33950,+1-793-759-0395,Water engineer,2,914.07,1,1,Surburban,1,Phone,Discount,2.006392906128386
John Black,8513 Diana Track,Lake Kelseyhaven,89102,312.425.3266x7619,Forensic scientist,11,198.56,0,1,Urban,0,Phone,No Offer,1.1370242550395555
Matthew Moon,808 Teresa Spurs Apt. 848,New Christina,34012,168-067-1994x160,"Psychotherapist, child",6,149.98,1,0,Surburban,1,Phone,Discount,1.1123692260017513
Karen Lopez,22349 Mathis Mountains,Davisside,75327,841-938-3312,Computer games developer,3,91.21,1,0,Rural,1,Phone,No Offer,1.059327071775086
Daniel Carr,173 Jeffrey Garden Suite 360,Lake Paula,15781,103.056.5880x562,Commissioning editor,4,41.62,1,0,Surburban,1,Phone,Buy One Get One,0.8995125557303327
Philip Williams,36133 Michael Cliffs,North Janiceton,63965,+1-605-914-8342,"Administrator, Civil Service",8,184.47,1,0,Surburban,1,Web,Discount,1.0523867688573147
James Lozano,17105 Alexander Union,Lake Zacharymouth,25682,+1-780-934-0037x634,Surgeon,10,29.99,0,1,Surburban,0,Web,Buy One Get One,1.397770891020614
Christopher Mitchell,690 Clark Crossing Suite 058,Robinsonbury,27127,+1-172-166-0341x01614,Nutritional therapist,1,366.12,1,0,Surburban,0,Web,Buy One Get One,1.015553099882142
Michael Marshall,1727 Jason Rue Suite 922,South Brian,3362,001-947-710-7616x0671,Magazine journalist,9,70.92,0,1,Surburban,0,Phone,Buy One Get One,1.513986191715746
David Carpenter,8113 Page Center Suite 339,North Williamton,98231,595-940-7437,Public relations officer,6,34.83,0,1,Urban,1,Phone,No Offer,0.7774905997106465
Michael Garcia,3052 Megan Orchard,Trevinoburgh,87260,125-043-7025x90428,"Engineer, building services",9,219.44,0,1,Rural,0,Phone,No Offer,0.961862716451146
Mrs. Lisa Lewis DDS,47187 Macdonald Station,North Jennifer,36831,015-229-0068,Fish farm manager,3,792.89,1,0,Surburban,1,Multichannel,Buy One Get One,0.9551207991419652
Victoria Peters,0191 Stanley Fields,Tateport,7237,(073)571-5234x741,Wellsite geologist,4,478.61,1,1,Surburban,0,Multichannel,No Offer,2.0074839024410407
Erik Lynn,98420 Sara Vista Apt. 822,New Amy,32310,(250)395-0592x1865,Actuary,12,529.04,1,0,Surburban,1,Phone,Discount,0.8579537681754386
Barbara Bell,10908 Marcus Lakes Apt. 483,South Gerald,73177,001-671-480-1139x05034,"Merchandiser, retail",7,66.06,1,0,Urban,1,Web,No Offer,0.9003243593626259
Richard Allison,723 Anderson Overpass Apt. 974,Ramosfurt,38676,+1-377-750-0279x3279,Secretary/administrator,1,99.34,0,1,Surburban,0,Web,No Offer,1.159895821448689
Katie Santos,808 Rocha Plain,Shannonmouth,16234,809.295.3376x76739,"Engineer, production",1,1015.08,1,1,Surburban,1,Multichannel,Buy One Get One,1.3475396761790597
